,acc,f1,auc,tau
e5-base,0.6404946835118798,0.6242707066196882,0.718320213037012,0.4408101314372014
gte-base,0.624736136929693,0.6006420254966065,0.7105369542341626,0.45251754816692025
gte-large,0.643168114002483,0.6262417547686271,0.7248942562689971,0.4184061108701774
e5-large,0.6346201180451857,0.6144741596842783,0.7117796085900092,0.43276566009334794
bioclinicalbert,0.6742288779767677,0.6632662812533838,0.7603030640426786,0.40482760921311617
pubmedbert,0.6693047250556923,0.6550173520342568,0.7590002742156887,0.38152199589019
sentence-biobert,0.6810537446198615,0.669885753322747,0.7648408504496166,0.3839988825240811
