model,acc_mean,acc_ci_low,acc_ci_high,acc_std,f1_mean,f1_ci_low,f1_ci_high,f1_std,auc_mean,auc_ci_low,auc_ci_high,auc_std
e5-base,0.6405261678626706,0.6350077388490221,0.6460883635851977,0.0028439327076474354,0.6243303069730647,0.6186288905213828,0.6299388928570622,0.0029198997938112135,0.7183346662304775,0.7125108784384999,0.7243222573728455,0.0030259408486779838
gte-base,0.6247329745321514,0.6190727451808077,0.6303996060222316,0.0028654651972482305,0.601109079036107,0.5952104551750403,0.6069792543147323,0.0029615274747861286,0.7104175965749164,0.704494173342732,0.7164174305067538,0.0030328665273928928
gte-large,0.6432214612354017,0.6377154565920923,0.6489728436752498,0.0028478043260173045,0.6266085424727157,0.6209378829584995,0.6325171639408427,0.0029247600702652773,0.7248860905364185,0.719012574779546,0.7307309229418223,0.0029854962165146116
e5-large,0.6346460285633883,0.6291323694948642,0.640249929646827,0.002845938326512809,0.6146651043867846,0.6088760144877025,0.6204189599431563,0.0029236917174333943,0.7116738281386528,0.7057973073386138,0.717581975961384,0.0030415109664529913
bioclinicalbert,0.6742339911355002,0.6687772618545096,0.6797523568312931,0.0027756218676257896,0.6643436277409838,0.658752899547095,0.66990236808196,0.002829941051753179,0.7602133270890944,0.754706302165867,0.7657741721245388,0.0028140444372022266
pubmedbert,0.6693222597439143,0.6637118334036866,0.6748628113127902,0.002787547626533393,0.6551017617070378,0.6493362930579997,0.6607899981559213,0.0028618515443730647,0.758967129214785,0.7534364702347186,0.7644941583170486,0.00283259996570765
sentence-biobert,0.6810984838891234,0.6757070493879274,0.6864359082594625,0.0027687569274235263,0.670328652363007,0.6648078805734455,0.6758189164829972,0.002825775225813305,0.7648305898310808,0.7594275059340176,0.7702073381005493,0.0027828337534029153
