,acc,f1,auc,tau
e5-base,0.7702188896462926,0.765795452998682,0.8477474061434715,0.47577951373960026
gte-base,0.7727107475573733,0.7717484425807372,0.8480187805993286,0.4601551939942394
gte-large,0.7751268651064153,0.7720790055609997,0.8544488682198207,0.4375361070447953
e5-large,0.7628493524199046,0.7585362343628674,0.8557031386500421,0.46534525459471093
bioclinicalbert,0.7702037415738847,0.7653026345912535,0.8841160441782744,0.3843907978275101
pubmedbert,0.793546921154283,0.7910912433818542,0.8919844164148089,0.3599711342477744
sentence-biobert,0.7899038097402105,0.7865587723650725,0.8741989806729343,0.34745115934720805
