model,acc_mean,acc_ci_low,acc_ci_high,f1_mean,f1_ci_low,f1_ci_high,auc_mean,auc_ci_low,auc_ci_high
e5-base,0.7024748641304348,0.6698369565217391,0.7350543478260869,0.6636889364074039,0.6271630932154806,0.6993880340288864,0.7553983654986692,0.7197699138027853,0.7903204126127195
gte-base,0.7839888586956522,0.7540760869565217,0.8125,0.7775459160789682,0.7467718235751448,0.8070238523312957,0.8263509626156265,0.7958463866785593,0.8557412508173504
gte-large,0.7079994565217392,0.6739130434782609,0.7404891304347826,0.6836938560585023,0.6483734251067509,0.7183985534033147,0.751568800538327,0.7157651368471867,0.7855621455283535
e5-large,0.7432798913043478,0.7119565217391305,0.7744565217391305,0.7354070962228861,0.7028405832100704,0.7672152073741447,0.7735252048605282,0.739376923669741,0.8073177772758344
