,acc,f1,auc,tau
e5-base,0.7775884268726805,0.7707376259019119,0.8485842060066691,0.43576006728542255
e5-large,0.7959857608119367,0.7907409898939532,0.8649748513946045,0.4499330539070921
gte-large,0.7861622358554874,0.7816201105293886,0.853322106609269,0.4315277952729996
gte-base,0.7898886616678027,0.7877854026028805,0.8436964918346028,0.44795019350267856
bioclinicalbert,0.7960463531015678,0.7929413381193424,0.8799714499202604,0.3813579529276695
pubmedbert,0.8119972733469666,0.8091191862410797,0.8848435507674693,0.3464390395666097
sentence-biobert,0.8206089525107931,0.8192828195708934,0.8772446942576423,0.3903906108986432
